cache_size,set_num,associativity,block_size,write_through,write_alloc,latency,miss_rate
131072,512,1,256,0,1,779000,0.5244
131072,512,1,256,1,0,686600,0.6551
131072,1024,1,128,0,1,906900,0.6454
131072,1024,1,128,1,0,804600,0.7731
131072,2048,1,64,0,1,1321400,0.9962
131072,2048,1,64,1,0,1029100,0.9976
131072,4096,1,32,0,1,1321400,0.9964
131072,4096,1,32,1,0,1029100,0.9982
131072,8192,1,16,0,1,1321500,0.9966
131072,8192,1,16,1,0,1029100,0.9982
131072,128,2,512,0,1,540600,0.3405
131072,128,2,512,1,0,624800,0.5933
131072,256,2,256,0,1,679900,0.4436
131072,256,2,256,1,0,686500,0.655
131072,512,2,128,0,1,951400,0.6406
131072,512,2,128,1,0,804900,0.7734
131072,1024,2,64,0,1,1323600,0.9962
131072,1024,2,64,1,0,1029100,0.9975
131072,2048,2,32,0,1,1323500,0.9964
131072,2048,2,32,1,0,1029100,0.9981
131072,4096,2,16,0,1,1323600,0.9966
131072,4096,2,16,1,0,1029100,0.9981
131072,64,4,512,0,1,512400,0.3244
131072,64,4,512,1,0,626900,0.5954
131072,128,4,256,0,1,673400,0.4395
131072,128,4,256,1,0,688300,0.6568
131072,256,4,128,0,1,949200,0.6388
131072,256,4,128,1,0,805300,0.7738
131072,512,4,64,0,1,1373000,0.996
131072,512,4,64,1,0,1029100,0.9974
131072,1024,4,32,0,1,1373000,0.9962
131072,1024,4,32,1,0,1029100,0.998
131072,2048,4,16,0,1,1373100,0.9964
131072,2048,4,16,1,0,1029100,0.998
131072,32,8,512,0,1,512300,0.3232
131072,32,8,512,1,0,628900,0.5974
131072,64,8,256,0,1,679400,0.4415
131072,64,8,256,1,0,689700,0.6582
131072,128,8,128,0,1,954000,0.6407
131072,128,8,128,1,0,806200,0.7747
131072,256,8,64,0,1,1397000,0.9959
131072,256,8,64,1,0,1029100,0.9972
131072,512,8,32,0,1,1397000,0.9961
131072,512,8,32,1,0,1029100,0.9978
131072,1024,8,16,0,1,1397100,0.9963
131072,1024,8,16,1,0,1029100,0.9978
131072,16,16,512,0,1,513900,0.3245
131072,16,16,512,1,0,631000,0.5995
131072,32,16,256,0,1,678300,0.4407
131072,32,16,256,1,0,691600,0.6601
131072,64,16,128,0,1,954700,0.6405
131072,64,16,128,1,0,807300,0.7758
131072,128,16,64,0,1,1409900,0.9957
131072,128,16,64,1,0,1029100,0.997
131072,256,16,32,0,1,1409900,0.9959
131072,256,16,32,1,0,1029100,0.9976
131072,512,16,16,0,1,1410000,0.9961
131072,512,16,16,1,0,1029100,0.9976
131072,8,32,512,0,1,514900,0.3249
131072,8,32,512,1,0,632600,0.6011
131072,16,32,256,0,1,678800,0.4408
131072,16,32,256,1,0,692700,0.6612
131072,32,32,128,0,1,955700,0.6405
131072,32,32,128,1,0,808900,0.7774
131072,64,32,64,0,1,1413500,0.9955
131072,64,32,64,1,0,1028900,0.9968
131072,128,32,32,0,1,1413500,0.9957
131072,128,32,32,1,0,1028900,0.9974
131072,256,32,16,0,1,1413600,0.9959
131072,256,32,16,1,0,1028900,0.9974
262144,512,1,512,0,1,887900,0.5958
262144,512,1,512,1,0,621800,0.5903
262144,1024,1,256,0,1,739800,0.5243
262144,1024,1,256,1,0,685000,0.6535
262144,2048,1,128,0,1,831900,0.6452
262144,2048,1,128,1,0,803800,0.7723
262144,4096,1,64,0,1,1178000,0.9962
262144,4096,1,64,1,0,1029100,0.9976
262144,8192,1,32,0,1,1178000,0.9964
262144,8192,1,32,1,0,1029100,0.9982
262144,16384,1,16,0,1,1178100,0.9966
262144,16384,1,16,1,0,1029100,0.9982
262144,256,2,512,0,1,489600,0.3226
262144,256,2,512,1,0,621000,0.5895
262144,512,2,256,0,1,608600,0.4252
262144,512,2,256,1,0,683900,0.6524
262144,1024,2,128,0,1,853300,0.6268
262144,1024,2,128,1,0,803500,0.772
262144,2048,2,64,0,1,1150500,0.9962
262144,2048,2,64,1,0,1029100,0.9975
262144,4096,2,32,0,1,1150400,0.9964
262144,4096,2,32,1,0,1029100,0.9981
262144,8192,2,16,0,1,1150500,0.9966
262144,8192,2,16,1,0,1029100,0.9981
262144,128,4,512,0,1,472500,0.3097
262144,128,4,512,1,0,620100,0.5886
262144,256,4,256,0,1,621600,0.4253
262144,256,4,256,1,0,683100,0.6515
262144,512,4,128,0,1,880600,0.6288
262144,512,4,128,1,0,803100,0.7715
262144,1024,4,64,0,1,1218100,0.9961
262144,1024,4,64,1,0,1029100,0.9975
262144,2048,4,32,0,1,1218100,0.9963
262144,2048,4,32,1,0,1029100,0.9981
262144,4096,4,16,0,1,1218200,0.9965
262144,4096,4,16,1,0,1029100,0.9981
262144,64,8,512,0,1,470900,0.3087
262144,64,8,512,1,0,620600,0.589
262144,128,8,256,0,1,626500,0.4279
262144,128,8,256,1,0,683200,0.6512
262144,256,8,128,0,1,888300,0.6329
262144,256,8,128,1,0,803000,0.771
262144,512,8,64,0,1,1268800,0.996
262144,512,8,64,1,0,1029000,0.997
262144,1024,8,32,0,1,1268800,0.9962
262144,1024,8,32,1,0,1029000,0.9976
262144,2048,8,16,0,1,1268900,0.9964
262144,2048,8,16,1,0,1029000,0.9976
262144,32,16,512,0,1,480500,0.3135
262144,32,16,512,1,0,621300,0.5892
262144,64,16,256,0,1,641600,0.4348
262144,64,16,256,1,0,683500,0.6515
262144,128,16,128,0,1,900300,0.6378
262144,128,16,128,1,0,803200,0.7712
262144,256,16,64,0,1,1293500,0.9959
262144,256,16,64,1,0,1029000,0.9968
262144,512,16,32,0,1,1293500,0.9961
262144,512,16,32,1,0,1029000,0.9974
262144,1024,16,16,0,1,1293600,0.9963
262144,1024,16,16,1,0,1029000,0.9974
262144,16,32,512,0,1,476900,0.3117
262144,16,32,512,1,0,622200,0.5901
262144,32,32,256,0,1,641800,0.4344
262144,32,32,256,1,0,684000,0.652
262144,64,32,128,0,1,900700,0.6373
262144,64,32,128,1,0,802900,0.7707
262144,128,32,64,0,1,1305700,0.9956
262144,128,32,64,1,0,1029000,0.9967
262144,256,32,32,0,1,1305700,0.9958
262144,256,32,32,1,0,1029000,0.9973
262144,512,32,16,0,1,1305800,0.996
262144,512,32,16,1,0,1029000,0.9973
524288,1024,1,512,0,1,632500,0.4411
524288,1024,1,512,1,0,619900,0.5879
524288,2048,1,256,0,1,549700,0.4206
524288,2048,1,256,1,0,683500,0.6515
524288,4096,1,128,0,1,719300,0.5979
524288,4096,1,128,1,0,803100,0.7711
524288,8192,1,64,0,1,1138400,0.9962
524288,8192,1,64,1,0,1028900,0.9969
524288,16384,1,32,0,1,1138400,0.9964
524288,16384,1,32,1,0,1028900,0.9975
524288,32768,1,16,0,1,1138500,0.9966
524288,32768,1,16,1,0,1028900,0.9975
524288,512,2,512,0,1,371000,0.2615
524288,512,2,512,1,0,619100,0.5876
524288,1024,2,256,0,1,479200,0.3716
524288,1024,2,256,1,0,683000,0.6515
524288,2048,2,128,0,1,708100,0.5898
524288,2048,2,128,1,0,803000,0.7715
524288,4096,2,64,0,1,1051900,0.9962
524288,4096,2,64,1,0,1029100,0.9976
524288,8192,2,32,0,1,1052000,0.9964
524288,8192,2,32,1,0,1029100,0.9982
524288,16384,2,16,0,1,1052200,0.9966
524288,16384,2,16,1,0,1029100,0.9982
524288,256,4,512,0,1,361800,0.2587
524288,256,4,512,1,0,618300,0.5868
524288,512,4,256,0,1,481000,0.3722
524288,512,4,256,1,0,682400,0.6506
524288,1024,4,128,0,1,713000,0.593
524288,1024,4,128,1,0,802500,0.7705
524288,2048,4,64,0,1,1069200,0.9961
524288,2048,4,64,1,0,1028800,0.9967
524288,4096,4,32,0,1,1069300,0.9963
524288,4096,4,32,1,0,1028800,0.9973
524288,8192,4,16,0,1,1069400,0.9965
524288,8192,4,16,1,0,1028800,0.9973
524288,128,8,512,0,1,346100,0.247
524288,128,8,512,1,0,618200,0.5859
524288,256,8,256,0,1,460300,0.3562
524288,256,8,256,1,0,682000,0.6497
524288,512,8,128,0,1,693700,0.5774
524288,512,8,128,1,0,802400,0.7701
524288,1024,8,64,0,1,1073000,0.996
524288,1024,8,64,1,0,1028800,0.9965
524288,2048,8,32,0,1,1073000,0.9962
524288,2048,8,32,1,0,1028800,0.9971
524288,4096,8,16,0,1,1073100,0.9964
524288,4096,8,16,1,0,1028800,0.9971
524288,64,16,512,0,1,344600,0.2442
524288,64,16,512,1,0,618000,0.5857
524288,128,16,256,0,1,454300,0.3512
524288,128,16,256,1,0,682000,0.6497
524288,256,16,128,0,1,687400,0.5737
524288,256,16,128,1,0,802400,0.7701
524288,512,16,64,0,1,1086500,0.9956
524288,512,16,64,1,0,1028800,0.9965
524288,1024,16,32,0,1,1086500,0.9958
524288,1024,16,32,1,0,1028800,0.9971
524288,2048,16,16,0,1,1086600,0.996
524288,2048,16,16,1,0,1028800,0.9971
524288,32,32,512,0,1,337500,0.2382
524288,32,32,512,1,0,618000,0.5857
524288,64,32,256,0,1,451300,0.3477
524288,64,32,256,1,0,682000,0.6497
524288,128,32,128,0,1,682200,0.5684
524288,128,32,128,1,0,802400,0.7701
524288,256,32,64,0,1,1098100,0.9953
524288,256,32,64,1,0,1028800,0.9965
524288,512,32,32,0,1,1098200,0.9956
524288,512,32,32,1,0,1028800,0.9971
524288,1024,32,16,0,1,1098300,0.9958
524288,1024,32,16,1,0,1028800,0.9971
1048576,2048,1,512,0,1,580500,0.41
1048576,2048,1,512,1,0,619200,0.5872
1048576,4096,1,256,0,1,510300,0.3984
1048576,4096,1,256,1,0,683000,0.651
1048576,8192,1,128,0,1,696100,0.5868
1048576,8192,1,128,1,0,802800,0.7708
1048576,16384,1,64,0,1,1131200,0.9962
1048576,16384,1,64,1,0,1028900,0.9969
1048576,32768,1,32,0,1,1131200,0.9964
1048576,32768,1,32,1,0,1028900,0.9975
1048576,65536,1,16,0,1,1131300,0.9966
1048576,65536,1,16,1,0,1028900,0.9975
1048576,1024,2,512,0,1,229500,0.1851
1048576,1024,2,512,1,0,618200,0.5859
1048576,2048,2,256,0,1,357200,0.3121
1048576,2048,2,256,1,0,682200,0.6499
1048576,4096,2,128,0,1,601500,0.5528
1048576,4096,2,128,1,0,802500,0.7702
1048576,8192,2,64,0,1,1039200,0.9954
1048576,8192,2,64,1,0,1028800,0.9965
1048576,16384,2,32,0,1,1039500,0.9957
1048576,16384,2,32,1,0,1028800,0.9971
1048576,32768,2,16,0,1,1039700,0.9959
1048576,32768,2,16,1,0,1028800,0.9971
1048576,512,4,512,0,1,232000,0.1885
1048576,512,4,512,1,0,618000,0.5857
1048576,1024,4,256,0,1,361600,0.317
1048576,1024,4,256,1,0,682000,0.6497
1048576,2048,4,128,0,1,601200,0.5561
1048576,2048,4,128,1,0,802400,0.7701
1048576,4096,4,64,0,1,1029300,0.996
1048576,4096,4,64,1,0,1028800,0.9965
1048576,8192,4,32,0,1,1029600,0.9963
1048576,8192,4,32,1,0,1028800,0.9971
1048576,16384,4,16,0,1,1029800,0.9965
1048576,16384,4,16,1,0,1028800,0.9971
1048576,256,8,512,0,1,224400,0.1835
1048576,256,8,512,1,0,618000,0.5857
1048576,512,8,256,0,1,350300,0.3108
1048576,512,8,256,1,0,682000,0.6497
1048576,1024,8,128,0,1,588800,0.5505
1048576,1024,8,128,1,0,802400,0.7701
1048576,2048,8,64,0,1,1027600,0.9951
1048576,2048,8,64,1,0,1028800,0.9965
1048576,4096,8,32,0,1,1027900,0.9954
1048576,4096,8,32,1,0,1028800,0.9971
1048576,8192,8,16,0,1,1028100,0.9956
1048576,8192,8,16,1,0,1028800,0.9971
1048576,128,16,512,0,1,210100,0.1764
1048576,128,16,512,1,0,618000,0.5857
1048576,256,16,256,0,1,336800,0.3051
1048576,256,16,256,1,0,682000,0.6497
1048576,512,16,128,0,1,578900,0.5477
1048576,512,16,128,1,0,802400,0.7701
1048576,1024,16,64,0,1,1025100,0.995
1048576,1024,16,64,1,0,1028800,0.9965
1048576,2048,16,32,0,1,1025400,0.9953
1048576,2048,16,32,1,0,1028800,0.9971
1048576,4096,16,16,0,1,1025600,0.9955
1048576,4096,16,16,1,0,1028800,0.9971
1048576,64,32,512,0,1,205700,0.1748
1048576,64,32,512,1,0,618000,0.5857
1048576,128,32,256,0,1,334900,0.3046
1048576,128,32,256,1,0,682000,0.6497
1048576,256,32,128,0,1,577500,0.5475
1048576,256,32,128,1,0,802400,0.7701
1048576,512,32,64,0,1,1025000,0.995
1048576,512,32,64,1,0,1028800,0.9965
1048576,1024,32,32,0,1,1025300,0.9953
1048576,1024,32,32,1,0,1028800,0.9971
1048576,2048,32,16,0,1,1025500,0.9955
1048576,2048,32,16,1,0,1028800,0.9971
2097152,4096,1,512,0,1,513900,0.37
2097152,4096,1,512,1,0,618000,0.5857
2097152,8192,1,256,0,1,458400,0.3703
2097152,8192,1,256,1,0,682000,0.6497
2097152,16384,1,128,0,1,656600,0.5717
2097152,16384,1,128,1,0,802400,0.7701
2097152,32768,1,64,0,1,1103700,0.9953
2097152,32768,1,64,1,0,1028800,0.9965
2097152,65536,1,32,0,1,1103900,0.9955
2097152,65536,1,32,1,0,1028800,0.9971
2097152,131072,1,16,0,1,1104100,0.9957
2097152,131072,1,16,1,0,1028800,0.9971
2097152,2048,2,512,0,1,211800,0.1777
2097152,2048,2,512,1,0,618100,0.5858
2097152,4096,2,256,0,1,340500,0.3065
2097152,4096,2,256,1,0,682100,0.6498
2097152,8192,2,128,0,1,584100,0.5488
2097152,8192,2,128,1,0,802400,0.7701
2097152,16384,2,64,0,1,1030900,0.9954
2097152,16384,2,64,1,0,1028800,0.9965
2097152,32768,2,32,0,1,1031200,0.9957
2097152,32768,2,32,1,0,1028800,0.9971
2097152,65536,2,16,0,1,1031400,0.9959
2097152,65536,2,16,1,0,1028800,0.9971
2097152,1024,4,512,0,1,204900,0.1748
2097152,1024,4,512,1,0,618000,0.5857
2097152,2048,4,256,0,1,334700,0.3046
2097152,2048,4,256,1,0,682000,0.6497
2097152,4096,4,128,0,1,577700,0.5475
2097152,4096,4,128,1,0,802400,0.7701
2097152,8192,4,64,0,1,1025200,0.995
2097152,8192,4,64,1,0,1028800,0.9965
2097152,16384,4,32,0,1,1025500,0.9953
2097152,16384,4,32,1,0,1028800,0.9971
2097152,32768,4,16,0,1,1025700,0.9955
2097152,32768,4,16,1,0,1028800,0.9971
2097152,512,8,512,0,1,204800,0.1748
2097152,512,8,512,1,0,618000,0.5857
2097152,1024,8,256,0,1,334600,0.3046
2097152,1024,8,256,1,0,682000,0.6497
2097152,2048,8,128,0,1,577500,0.5475
2097152,2048,8,128,1,0,802400,0.7701
2097152,4096,8,64,0,1,1025000,0.995
2097152,4096,8,64,1,0,1028800,0.9965
2097152,8192,8,32,0,1,1025300,0.9953
2097152,8192,8,32,1,0,1028800,0.9971
2097152,16384,8,16,0,1,1025500,0.9955
2097152,16384,8,16,1,0,1028800,0.9971
2097152,256,16,512,0,1,204800,0.1748
2097152,256,16,512,1,0,618000,0.5857
2097152,512,16,256,0,1,334600,0.3046
2097152,512,16,256,1,0,682000,0.6497
2097152,1024,16,128,0,1,577500,0.5475
2097152,1024,16,128,1,0,802400,0.7701
2097152,2048,16,64,0,1,1025000,0.995
2097152,2048,16,64,1,0,1028800,0.9965
2097152,4096,16,32,0,1,1025300,0.9953
2097152,4096,16,32,1,0,1028800,0.9971
2097152,8192,16,16,0,1,1025500,0.9955
2097152,8192,16,16,1,0,1028800,0.9971
2097152,128,32,512,0,1,204800,0.1748
2097152,128,32,512,1,0,618000,0.5857
2097152,256,32,256,0,1,334600,0.3046
2097152,256,32,256,1,0,682000,0.6497
2097152,512,32,128,0,1,577500,0.5475
2097152,512,32,128,1,0,802400,0.7701
2097152,1024,32,64,0,1,1025000,0.995
2097152,1024,32,64,1,0,1028800,0.9965
