cache_size,set_num,associativity,block_size,write_through,write_alloc,latency,miss_rate
32768.0,64.0,1.0,512.0,0.0,1.0,2526879.0,0.479096
32768.0,64.0,1.0,512.0,1.0,0.0,1909479.0,0.552282
32768.0,128.0,1.0,256.0,0.0,1.0,1973179.0,0.364163
32768.0,128.0,1.0,256.0,1.0,0.0,2119879.0,0.616443
32768.0,256.0,1.0,128.0,0.0,1.0,2994579.0,0.582929
32768.0,256.0,1.0,128.0,1.0,0.0,2539479.0,0.744397
32768.0,512.0,1.0,64.0,0.0,1.0,4932379.0,1.0
32768.0,512.0,1.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,1024.0,1.0,32.0,0.0,1.0,4932379.0,1.0
32768.0,1024.0,1.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,2048.0,1.0,16.0,0.0,1.0,4932379.0,1.0
32768.0,2048.0,1.0,16.0,1.0,0.0,3377679.0,1.0
32768.0,32.0,2.0,512.0,0.0,1.0,1360679.0,0.236422
32768.0,32.0,2.0,512.0,1.0,0.0,1909879.0,0.552404
32768.0,64.0,2.0,256.0,0.0,1.0,1909579.0,0.350959
32768.0,64.0,2.0,256.0,1.0,0.0,2120279.0,0.616565
32768.0,128.0,2.0,128.0,0.0,1.0,3001979.0,0.582441
32768.0,128.0,2.0,128.0,1.0,0.0,2539879.0,0.744519
32768.0,256.0,2.0,64.0,0.0,1.0,4902779.0,0.992315
32768.0,256.0,2.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,512.0,2.0,32.0,0.0,1.0,4902779.0,0.992315
32768.0,512.0,2.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,1024.0,2.0,16.0,0.0,1.0,4902779.0,0.992315
32768.0,1024.0,2.0,16.0,1.0,0.0,3377679.0,1.0
32768.0,16.0,4.0,512.0,0.0,1.0,1249379.0,0.217699
32768.0,16.0,4.0,512.0,1.0,0.0,1909879.0,0.552404
32768.0,32.0,4.0,256.0,0.0,1.0,1908679.0,0.350776
32768.0,32.0,4.0,256.0,1.0,0.0,2120279.0,0.616565
32768.0,64.0,4.0,128.0,0.0,1.0,3002079.0,0.582441
32768.0,64.0,4.0,128.0,1.0,0.0,2539879.0,0.744519
32768.0,128.0,4.0,64.0,0.0,1.0,4914079.0,0.992315
32768.0,128.0,4.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,256.0,4.0,32.0,0.0,1.0,4914079.0,0.992315
32768.0,256.0,4.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,512.0,4.0,16.0,0.0,1.0,4914079.0,0.992315
32768.0,512.0,4.0,16.0,1.0,0.0,3377679.0,1.0
32768.0,8.0,8.0,512.0,0.0,1.0,1250179.0,0.217821
32768.0,8.0,8.0,512.0,1.0,0.0,1910179.0,0.552496
32768.0,16.0,8.0,256.0,0.0,1.0,1909279.0,0.350868
32768.0,16.0,8.0,256.0,1.0,0.0,2120979.0,0.616778
32768.0,32.0,8.0,128.0,0.0,1.0,3003179.0,0.582502
32768.0,32.0,8.0,128.0,1.0,0.0,2540779.0,0.744793
32768.0,64.0,8.0,64.0,0.0,1.0,4917279.0,0.992041
32768.0,64.0,8.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,128.0,8.0,32.0,0.0,1.0,4917279.0,0.992041
32768.0,128.0,8.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,256.0,8.0,16.0,0.0,1.0,4917279.0,0.992041
32768.0,256.0,8.0,16.0,1.0,0.0,3377679.0,1.0
32768.0,4.0,16.0,512.0,0.0,1.0,1251779.0,0.218126
32768.0,4.0,16.0,512.0,1.0,0.0,1910979.0,0.55274
32768.0,8.0,16.0,256.0,0.0,1.0,1910279.0,0.35102
32768.0,8.0,16.0,256.0,1.0,0.0,2121379.0,0.6169
32768.0,16.0,16.0,128.0,0.0,1.0,3003779.0,0.582563
32768.0,16.0,16.0,128.0,1.0,0.0,2540979.0,0.744854
32768.0,32.0,16.0,64.0,0.0,1.0,4919079.0,0.992041
32768.0,32.0,16.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,64.0,16.0,32.0,0.0,1.0,4919079.0,0.992041
32768.0,64.0,16.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,128.0,16.0,16.0,0.0,1.0,4919079.0,0.992041
32768.0,128.0,16.0,16.0,1.0,0.0,3377679.0,1.0
32768.0,2.0,32.0,512.0,0.0,1.0,1253879.0,0.218583
32768.0,2.0,32.0,512.0,1.0,0.0,1912579.0,0.553228
32768.0,4.0,32.0,256.0,0.0,1.0,1910979.0,0.351142
32768.0,4.0,32.0,256.0,1.0,0.0,2122679.0,0.617296
32768.0,8.0,32.0,128.0,0.0,1.0,3004379.0,0.582594
32768.0,8.0,32.0,128.0,1.0,0.0,2542079.0,0.74519
32768.0,16.0,32.0,64.0,0.0,1.0,4919979.0,0.992041
32768.0,16.0,32.0,64.0,1.0,0.0,3377679.0,1.0
32768.0,32.0,32.0,32.0,0.0,1.0,4919979.0,0.992041
32768.0,32.0,32.0,32.0,1.0,0.0,3377679.0,1.0
32768.0,64.0,32.0,16.0,0.0,1.0,4919979.0,0.992041
32768.0,64.0,32.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,128.0,1.0,512.0,0.0,1.0,2520779.0,0.479035
65536.0,128.0,1.0,512.0,1.0,0.0,1907779.0,0.551764
65536.0,256.0,1.0,256.0,0.0,1.0,1961579.0,0.364133
65536.0,256.0,1.0,256.0,1.0,0.0,2118479.0,0.616016
65536.0,512.0,1.0,128.0,0.0,1.0,2973579.0,0.582899
65536.0,512.0,1.0,128.0,1.0,0.0,2538679.0,0.744153
65536.0,1024.0,1.0,64.0,0.0,1.0,4893879.0,0.99997
65536.0,1024.0,1.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,2048.0,1.0,32.0,0.0,1.0,4893879.0,0.99997
65536.0,2048.0,1.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,4096.0,1.0,16.0,0.0,1.0,4893879.0,0.99997
65536.0,4096.0,1.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,64.0,2.0,512.0,0.0,1.0,1354079.0,0.235843
65536.0,64.0,2.0,512.0,1.0,0.0,1906579.0,0.551398
65536.0,128.0,2.0,256.0,0.0,1.0,1899279.0,0.350258
65536.0,128.0,2.0,256.0,1.0,0.0,2118879.0,0.616138
65536.0,256.0,2.0,128.0,0.0,1.0,2985579.0,0.58174
65536.0,256.0,2.0,128.0,1.0,0.0,2539379.0,0.744366
65536.0,512.0,2.0,64.0,0.0,1.0,4830679.0,0.98457
65536.0,512.0,2.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,1024.0,2.0,32.0,0.0,1.0,4830679.0,0.98457
65536.0,1024.0,2.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,2048.0,2.0,16.0,0.0,1.0,4830679.0,0.98457
65536.0,2048.0,2.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,32.0,4.0,512.0,0.0,1.0,1241979.0,0.216906
65536.0,32.0,4.0,512.0,1.0,0.0,1909279.0,0.552222
65536.0,64.0,4.0,256.0,0.0,1.0,1899079.0,0.350044
65536.0,64.0,4.0,256.0,1.0,0.0,2120079.0,0.616504
65536.0,128.0,4.0,128.0,0.0,1.0,2988079.0,0.58177
65536.0,128.0,4.0,128.0,1.0,0.0,2539779.0,0.744488
65536.0,256.0,4.0,64.0,0.0,1.0,4851979.0,0.98457
65536.0,256.0,4.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,512.0,4.0,32.0,0.0,1.0,4851979.0,0.98457
65536.0,512.0,4.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,1024.0,4.0,16.0,0.0,1.0,4851979.0,0.98457
65536.0,1024.0,4.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,16.0,8.0,512.0,0.0,1.0,1243779.0,0.217272
65536.0,16.0,8.0,512.0,1.0,0.0,1909279.0,0.552222
65536.0,32.0,8.0,256.0,0.0,1.0,1900379.0,0.350288
65536.0,32.0,8.0,256.0,1.0,0.0,2120079.0,0.616504
65536.0,64.0,8.0,128.0,0.0,1.0,2988679.0,0.58177
65536.0,64.0,8.0,128.0,1.0,0.0,2539779.0,0.744488
65536.0,128.0,8.0,64.0,0.0,1.0,4863279.0,0.98457
65536.0,128.0,8.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,256.0,8.0,32.0,0.0,1.0,4863279.0,0.98457
65536.0,256.0,8.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,512.0,8.0,16.0,0.0,1.0,4863279.0,0.98457
65536.0,512.0,8.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,8.0,16.0,512.0,0.0,1.0,1243179.0,0.217211
65536.0,8.0,16.0,512.0,1.0,0.0,1910179.0,0.552496
65536.0,16.0,16.0,256.0,0.0,1.0,1899579.0,0.350075
65536.0,16.0,16.0,256.0,1.0,0.0,2120979.0,0.616778
65536.0,32.0,16.0,128.0,0.0,1.0,2990779.0,0.581953
65536.0,32.0,16.0,128.0,1.0,0.0,2540679.0,0.744763
65536.0,64.0,16.0,64.0,0.0,1.0,4866479.0,0.984295
65536.0,64.0,16.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,128.0,16.0,32.0,0.0,1.0,4866479.0,0.984295
65536.0,128.0,16.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,256.0,16.0,16.0,0.0,1.0,4866479.0,0.984295
65536.0,256.0,16.0,16.0,1.0,0.0,3377679.0,1.0
65536.0,4.0,32.0,512.0,0.0,1.0,1244979.0,0.217516
65536.0,4.0,32.0,512.0,1.0,0.0,1910979.0,0.55274
65536.0,8.0,32.0,256.0,0.0,1.0,1901579.0,0.35041
65536.0,8.0,32.0,256.0,1.0,0.0,2121379.0,0.6169
65536.0,16.0,32.0,128.0,0.0,1.0,2991779.0,0.582075
65536.0,16.0,32.0,128.0,1.0,0.0,2540879.0,0.744824
65536.0,32.0,32.0,64.0,0.0,1.0,4868279.0,0.984295
65536.0,32.0,32.0,64.0,1.0,0.0,3377679.0,1.0
65536.0,64.0,32.0,32.0,0.0,1.0,4868279.0,0.984295
65536.0,64.0,32.0,32.0,1.0,0.0,3377679.0,1.0
65536.0,128.0,32.0,16.0,0.0,1.0,4868279.0,0.984295
65536.0,128.0,32.0,16.0,1.0,0.0,3377679.0,1.0
131072.0,256.0,1.0,512.0,0.0,1.0,2506979.0,0.478303
131072.0,256.0,1.0,512.0,1.0,0.0,1907079.0,0.551551
131072.0,512.0,1.0,256.0,0.0,1.0,1934579.0,0.362913
131072.0,512.0,1.0,256.0,1.0,0.0,2117879.0,0.615833
131072.0,1024.0,1.0,128.0,0.0,1.0,2921779.0,0.580215
131072.0,1024.0,1.0,128.0,1.0,0.0,2538279.0,0.744031
131072.0,2048.0,1.0,64.0,0.0,1.0,4794479.0,0.994572
131072.0,2048.0,1.0,64.0,1.0,0.0,3377679.0,1.0
131072.0,4096.0,1.0,32.0,0.0,1.0,4794479.0,0.994572
131072.0,4096.0,1.0,32.0,1.0,0.0,3377679.0,1.0
131072.0,8192.0,1.0,16.0,0.0,1.0,4794479.0,0.994572
131072.0,8192.0,1.0,16.0,1.0,0.0,3377679.0,1.0
131072.0,128.0,2.0,512.0,0.0,1.0,1340879.0,0.234684
131072.0,128.0,2.0,512.0,1.0,0.0,1906379.0,0.551337
131072.0,256.0,2.0,256.0,0.0,1.0,1877579.0,0.348702
